Date,USRetail
14-Sep-20,2.274
21-Sep-20,2.259
28-Sep-20,2.259
5-Oct-20,2.262
12-Oct-20,2.257
19-Oct-20,2.24
26-Oct-20,2.234
2-Nov-20,2.204
9-Nov-20,2.188
16-Nov-20,2.202
23-Nov-20,2.194
30-Nov-20,2.211
7-Dec-20,2.246
14-Dec-20,2.247
21-Dec-20,2.311
28-Dec-20,2.33
4-Jan-21,2.336
11-Jan-21,2.403
18-Jan-21,2.464
25-Jan-21,2.478
1-Feb-21,2.495
8-Feb-21,2.548
15-Feb-21,2.588
22-Feb-21,2.717
1-Mar-21,2.796
8-Mar-21,2.857
15-Mar-21,2.94
22-Mar-21,2.954
29-Mar-21,2.941
5-Apr-21,2.945
12-Apr-21,2.939
19-Apr-21,2.945
26-Apr-21,2.962
3-May-21,2.981
10-May-21,3.051
17-May-21,3.118
24-May-21,3.112
31-May-21,3.119
7-Jun-21,3.128
14-Jun-21,3.161
21-Jun-21,3.153
28-Jun-21,3.185
5-Jul-21,3.216
12-Jul-21,3.227
19-Jul-21,3.247
26-Jul-21,3.232
2-Aug-21,3.256
9-Aug-21,3.269
16-Aug-21,3.272
23-Aug-21,3.243
30-Aug-21,3.237
6-Sep-21,3.273
13-Sep-21,3.262
20-Sep-21,3.28
27-Sep-21,3.271
4-Oct-21,3.285
11-Oct-21,3.36
18-Oct-21,3.416
25-Oct-21,3.476
1-Nov-21,3.484
8-Nov-21,3.505
15-Nov-21,3.495
22-Nov-21,3.493
29-Nov-21,3.478
6-Dec-21,3.44
13-Dec-21,3.414
20-Dec-21,3.395
27-Dec-21,3.375
3-Jan-22,3.381
10-Jan-22,3.394
17-Jan-22,3.404
24-Jan-22,3.421
31-Jan-22,3.464
7-Feb-22,3.538
14-Feb-22,3.581
21-Feb-22,3.624
28-Feb-22,3.701
7-Mar-22,4.196
14-Mar-22,4.414
21-Mar-22,4.343
28-Mar-22,4.334
4-Apr-22,4.274
11-Apr-22,4.196
18-Apr-22,4.17
25-Apr-22,4.211
2-May-22,4.285
9-May-22,4.428
16-May-22,4.591
23-May-22,4.694
30-May-22,4.727
6-Jun-22,4.977
13-Jun-22,5.107
20-Jun-22,5.066
27-Jun-22,4.979
4-Jul-22,4.879
11-Jul-22,4.754
18-Jul-22,4.599
